Temperature,EC,PH,Salinity,DO
20.4,0.19,7.84,0.12,9.1
26.2,1.18,7.82,0.76,3.1
21.8,0.16,7.18,0.1,6.2
16.6,0.58,8.27,0.37,9.2
23.1,0.21,7.2,0.13,5.6
15.3,0.25,7.2,0.16,5
21.7,0.19,7.9,0.12,9.1
23.8,0.19,7,0.12,5.8
15.3,0.22,7.2,0.14,5.4
20.5,0.19,7.8,0.12,9.1
21.8,0.18,7.3,0.11,6
22.8,0.14,7.3,0.09,9
21.9,0.23,7.4,0.15,5.3
21.2,0.14,7.7,0.09,9
21.3,0.16,7.1,0.1,6.2
24.3,0.35,7.5,0.23,3.7
21.9,0.25,7.5,0.16,5.1
24.5,0.14,7.79,0.09,9
20.2,0.19,7.9,0.12,9.1
16.4,0.29,7.8,0.18,9.3
16.8,0.25,7.24,0.16,5
23.8,0.29,7.88,0.18,9.3
26.1,0.19,7.8,0.12,7.6
26.1,0.19,7.24,0.12,7.9
18.9,0.3,7.45,0.19,4.4
20.5,0.19,7.78,0.12,9.1
19.2,0.09,7.17,0.06,8.9
20,0.16,7.3,0.1,6.2
17.4,0.42,7.7,0.27,8.3
19.6,0.19,7.5,0.12,9.1
22.5,0.26,7.5,0.17,4.9
23.7,0.27,7.2,0.18,4.7
20.2,0.24,7.8,0.15,9.2
21.4,0.09,7.2,0.06,8.9
21.8,0.34,7.8,0.22,9.4
18.4,0.14,7.1,0.09,9
21.7,0.21,7.4,0.13,5.6
20.8,0.17,7.1,0.11,6.1
25.4,0.47,7.2,0.3,8
22.6,0.22,7.3,0.14,5.4
22.7,0.16,7.33,0.1,6.2
21.2,0.29,7.66,0.18,9.3
22.7,0.14,7.14,0.09,6.4
18.7,0.14,7.15,0.09,6.4
22.5,0.21,7.2,0.14,5.5
17.2,0.22,7,0.14,5.4
22.3,0.09,7.4,0.06,8.9
19.3,0.09,7.4,0.05,8.9
23.4,0.27,7.5,0.18,4.7
21,0.29,8,0.18,9.3
22,0.09,7.54,0.05,8.9
22.1,0.17,7.5,0.11,6.1
19.2,0.19,7.88,0.12,9.1
20.8,0.14,7.56,0.09,9
23.2,0.74,8.43,0.47,10.3
24.3,0.09,7.35,0.06,8.9
21.1,0.17,7.3,0.11,6.1
16.1,0.42,7.34,0.27,8.3
17.4,0.19,7.4,0.12,5.8
25.9,0.94,7.2,0.6,1.1
26.1,0.72,7.5,0.46,2.4
16.2,0.3,7.4,0.19,4.4
19.8,0.32,7.4,0.2,4.1
21,0.13,7.1,0.09,9
15.5,0.26,7.4,0.17,4.8
24.8,0.23,7.6,0.15,5.2
19.7,0.18,7.9,0.12,9.1
20,0.26,7.1,0.17,4.8
26.5,0.54,7.8,0.35,5
16.1,0.2,7.3,0.13,5.7
16.2,0.38,7.9,0.25,9.5
17.2,0.27,7.1,0.17,4.8
21.5,0.18,7.7,0.12,9.1
19.7,0.23,7.2,0.15,5.2
26.5,0.38,7.5,0.25,7.1
24.6,0.47,7.4,0.3,8.4
18.6,0.08,7.5,0.05,8.9
22.6,0.32,7.62,0.2,8.1
22,0.08,7.47,0.05,8.9
23.8,0.43,7.5,0.28,9.6
22.2,0.21,7.2,0.13,5.5
20.3,0.13,7.5,0.09,9
23.9,0.23,7.4,0.15,5.3
15.6,0.22,7.2,0.14,5.4
16.6,0.42,7.3,0.27,8.3
22.7,0.08,7.3,0.05,8.9
26.5,0.38,7.96,0.25,7.6
21.9,0.35,8.17,0.23,8
26.7,0.95,7.64,0.61,6.3
26,0.13,7.52,0.09,6.9
26.5,0.75,7.91,0.48,5
18.1,0.13,7.48,0.09,9
17.8,0.18,7.5,0.12,9.1
21.1,0.49,7.42,0.31,1.9
20,0.13,7.92,0.09,9
25.2,0.37,8,0.24,7.9
26.2,0.23,7.86,0.15,7.1
26.7,0.79,7.98,0.51,6.3
19.7,0.18,7.7,0.12,9.1
18.2,0.21,7.28,0.14,5.5
26,0.13,7.4,0.08,7.5
25.2,0.96,7.5,0.62,4.8
20.1,0.19,7,0.12,5.7
26.2,0.23,7.7,0.15,7.9
23.3,0.16,7.2,0.1,6.2
25.4,0.76,7.7,0.49,6.1
22.2,0.17,7.6,0.11,6
24.5,0.84,8.4,0.54,6.1
16.9,0.27,7.2,0.17,4.7
22.8,0.54,8.2,0.35,4.8
21.8,0.42,7.6,0.27,8.3
24.6,0.32,7.8,0.21,4
16,0.13,7.4,0.08,9
25.4,0.67,7.7,0.43,6.1
21.2,0.29,7.2,0.18,4.5
25.4,1.28,7.4,0.82,6.1
23.2,0.29,7.47,0.19,4.4
19,0.18,7.94,0.12,9.1
22,0.37,7.5,0.24,8.2
23.4,0.08,7.3,0.05,8.9
22.3,0.26,7.4,0.16,4.9
20.6,0.08,7.4,0.05,8.9
15.7,0.08,7.3,0.05,8.9
25.2,0.85,7.78,0.55,4.8
19.1,0.13,7.32,0.08,9
26.4,0.33,7.56,0.21,7.4
26.6,0.74,7.8,0.47,5.6
22.5,0.37,7.9,0.24,8.2
26.6,0.74,7.8,0.47,5.6
22,1.11,5.8,0.71,2.8
26.6,0.43,7.8,0.28,7.1
24.3,0.42,7.6,0.27,8.3
26.5,0.38,7.7,0.24,6.7
24.5,0.2,7.2,0.13,5.6
19.5,0.14,7.1,0.09,6.4
19.5,0.25,7.4,0.16,4.9
26.6,0.43,7.7,0.28,7.6
23.1,0.08,7.4,0.05,8.9
20.9,0.13,8,0.08,9
23.7,0.22,7.2,0.14,5.4
13.9,0.47,7.6,0.3,8.4
25.8,1.35,7,0.86,0.4
21.1,0.33,8,0.21,9.4
26.6,0.43,8,0.28,7.9
23.5,0.28,7.3,0.18,4.6
22.7,0.08,7.51,0.05,8.9
27.5,0.73,8.24,0.46,7.6
21,0.51,8.66,0.33,8.8
21.8,0.5,8.26,0.32,9.2
22.3,1.07,8.06,0.68,9.4
20.6,0.16,7.3,0.1,6.1
25.3,0.42,8,0.27,7.2
23.2,0.16,7.2,0.1,6.1
19.2,0.47,7.6,0.3,8.4
24.9,0.08,7.3,0.05,8.9
26.7,0.48,7.6,0.31,7.6
21.6,0.54,8.46,0.34,9
17.8,0.48,8,0.31,9.7
20.2,0.51,8.16,0.33,9.3
17.7,0.52,8.36,0.34,9.1
19.5,0.25,7.43,0.16,4.9
21.4,0.59,8.16,0.38,9.3
21.5,0.18,7.59,0.12,9.1
18.1,0.28,8.01,0.18,8
20.7,0.56,8.14,0.36,10.6
21.5,0.56,8.26,0.36,9.2
18.1,0.24,7.36,0.15,5.1
20.7,0.5,8.36,0.32,9.1
22.6,0.32,7.51,0.2,8.1
22.8,0.29,7.58,0.19,4.4
26.6,0.43,7.8,0.27,7.9
24.5,0.37,8.2,0.24,8
23.2,0.13,7.2,0.08,9
21.5,0.25,7.3,0.16,4.9
24.8,0.37,7.3,0.23,3.4
21.3,0.23,7.5,0.15,9.2
21.9,0.13,7.6,0.08,9
17.8,0.13,7.4,0.08,9
17.4,0.37,8.2,0.24,7.8
23.5,0.44,7.1,0.28,2.5
14.5,0.43,7.6,0.27,9.6
21.3,0.08,7.2,0.05,8.9
20.6,0.18,7.7,0.11,9.1
20.5,0.23,7.8,0.15,9.2
22.7,0.34,4.1,0.21,7.9
22.6,0.08,7.4,0.05,8.9
22.3,0.14,7.2,0.09,6.3
16.9,0.23,8,0.15,9.2
21.3,0.33,7.5,0.21,9.4
20.5,0.42,7.6,0.27,8.3
26.4,0.33,7.8,0.21,7
21.3,0.24,7.2,0.15,5.1
18,0.24,7.2,0.15,5.1
22,0.08,7.18,0.05,8.9
21.9,0.13,7.96,0.08,9
16.4,0.38,7.35,0.24,9.5
26.7,0.48,7.7,0.31,7.9
23.1,0.13,7.4,0.08,9
20,0.17,7.18,0.11,6
17.2,0.43,7.76,0.27,9.6
24.9,0.24,7.43,0.16,5
18.9,0.17,7.46,0.11,6
22.1,0.28,7.62,0.18,9.3
16.8,0.18,7.89,0.11,9.1
21.7,0.21,7.19,0.14,5.4
21.6,0.18,7.92,0.11,9.1
21.2,0.08,7.3,0.05,8.9
22.9,0.37,8,0.24,8.2
22.2,0.3,7.1,0.19,4.3
26.5,0.51,7.6,0.32,4.9
24.1,0.21,7.3,0.14,5.4
24.9,0.17,7.1,0.11,6
26.2,0.23,7.5,0.15,6.5
26.7,0.54,8,0.35,6.2
25.9,0.93,7.7,0.6,1
24.1,0.16,7.9,0.1,6.1
22.7,0.15,6.7,0.09,7
19.4,0.27,7.3,0.17,4.7
20.5,0.63,6.3,0.41,2.3
18.2,0.22,7.2,0.14,5.3
16.5,0.27,7.3,0.17,4.6
16.9,0.37,7.7,0.24,8.2
23.7,0.13,7.6,0.08,9
15.9,0.22,7.2,0.14,5.3
24.6,0.26,7.2,0.17,4.8
15.7,0.19,7.2,0.12,5.7
24.2,0.2,7.3,0.13,5.5
20.9,0.16,7.1,0.1,6.1
25.4,0.47,7.84,0.3,7
18.2,0.23,7.4,0.15,9.2
22.3,0.43,7.3,0.27,2.6
24.8,0.47,7.5,0.3,8.4
22.3,0.08,7.63,0.05,8.9
24.7,0.27,7.23,0.17,4.7
26.3,0.95,7.79,0.61,3.6
26.5,0.66,7.33,0.42,4.9
24.9,0.25,7.4,0.16,4.9
19.8,0.35,7.04,0.22,3.6
23.5,0.2,7.5,0.13,5.5
17.7,0.17,7.12,0.11,5.9
23.4,0.37,8.2,0.24,8
17.5,0.19,7,0.12,5.6
20.5,0.47,7.9,0.3,8.4
24.1,0.13,7.4,0.08,9
26.6,0.43,8,0.27,8
23.9,0.25,7.3,0.16,4.9
24,0.23,7.1,0.14,5.2
26.6,0.43,7.9,0.27,7.5
18,0.47,7.8,0.3,8.4
19.9,0.13,7.2,0.08,9
23.7,0.32,8.1,0.21,7.8
22.2,0.19,7.9,0.12,5.7
24.1,0.22,7,0.14,5.3
15.5,0.27,7.6,0.17,4.6
18.6,0.13,7.5,0.08,9
20.8,0.18,7.6,0.11,9.1
23.3,0.33,4.1,0.21,8
21,0.23,7.7,0.14,9.2
14.2,0.23,7.8,0.14,9.2
19,0.33,7.7,0.21,9.4
24.7,0.25,7.3,0.16,4.9
15,0.47,7.7,0.3,8.4
22.4,0.47,7.9,0.3,8.4
20.9,0.13,7.4,0.08,9
26.6,0.43,7.3,0.27,7.8
21.5,0.23,7.2,0.14,5.2
19.1,0.43,7.9,0.27,9.6
21.6,0.13,7.9,0.08,9
16.9,0.33,7.89,0.21,9.4
18.6,0.13,7.59,0.08,9
22.4,0.23,8,0.14,9.2
24.6,0.28,8,0.18,9.3
24.6,0.13,7.7,0.08,9
14.3,0.28,7.5,0.18,9.3
25.3,0.42,7.49,0.27,6.6
24.5,0.34,8.14,0.22,7.8
25,0.23,7.34,0.14,5.2
18.2,0.25,7.38,0.16,4.9
20.2,0.2,7.08,0.13,5.5
24.8,0.41,8.28,0.26,8
19.4,0.13,7.52,0.08,9
24.8,0.15,7.2,0.09,6.2
21.1,0.56,8.25,0.36,10.5
19.8,0.12,7.1,0.08,9
22.1,0.17,7.2,0.11,5.9
23.8,0.8,9,0.51,1.6
26.2,1,7.6,0.64,2.9
25.3,1.2,7.3,0.77,5.5
26.4,0.65,7.9,0.42,4.2
25,0.13,7.6,0.08,6.4
22.3,0.21,7,0.13,5.4
20,0.15,7.2,0.1,6.1
13.8,0.82,2.8,0.52,5.5
19.8,0.25,7.2,0.16,4.8
22.7,0.19,7,0.12,5.6
25,0.3,7,0.19,4.2
21.4,0.18,7.3,0.11,5.8
26.6,0.76,7.6,0.49,5.5
25.8,1.18,7.5,0.76,0.3
26.2,0.65,7.5,0.41,2.9
21.8,0.12,7.9,0.08,9
26.7,0.47,7.8,0.3,7.4
24.4,0.92,8.16,0.59,4.6
17.5,0.12,7.2,0.08,9
20.5,0.18,7.1,0.11,5.8
22.1,0.17,7.9,0.11,9.1
24.3,0.07,7.2,0.05,8.9
23.4,0.07,7.2,0.05,8.9
23.6,0.37,7.4,0.24,9.5
19,0.22,8,0.14,9.2
20.5,0.21,7.2,0.13,5.4
22.7,0.07,7.38,0.05,8.9
18.8,0.12,7.52,0.08,9
20.7,0.13,6.86,0.09,7
18.9,0.23,7.44,0.15,5.1
19.6,0.12,7.32,0.08,9
25.3,0.71,7.87,0.45,5.5
26.6,1.09,7.94,0.7,5.5
22.1,0.39,7.3,0.25,3
21.2,0.27,8,0.17,9.3
22,0.28,7.4,0.18,4.4
22.3,0.07,7.6,0.05,8.9
24.3,0.37,7.5,0.24,3.3
17.6,0.45,7,0.28,2.3
25.3,0.42,7.6,0.27,7.6
23.6,0.23,7.4,0.15,5.1
21.9,0.26,7.3,0.17,4.7
21.3,0.12,7.76,0.08,9
17.1,0.19,7,0.12,5.6
19.9,0.22,7.19,0.14,5.2
22,0.28,7.18,0.18,4.4
25.2,0.37,7.51,0.24,6.8
22.3,0.37,7.99,0.24,8.2
24.7,0.21,7.46,0.13,5.4
22.8,0.22,8,0.14,9.2
23.5,0.17,7.8,0.11,5.9
21.2,0.13,6.9,0.08,7.3
17.9,0.12,7.3,0.08,9
15.5,0.37,7.5,0.24,9.5
18.8,0.17,7.8,0.11,9.1
25,0.38,7.7,0.24,8.2
21.2,0.27,7.4,0.17,9.3
26,0.12,7.6,0.08,8
17.6,0.24,7.1,0.16,4.9
21.8,0.19,7.2,0.12,5.6
23.4,0.07,8,0.04,8.9
18.1,0.17,7.4,0.11,9.1
19.5,0.12,7.76,0.08,9
18.3,0.16,7.29,0.1,6
26.2,0.22,8,0.14,7.6
19.4,0.17,7.9,0.11,9.1
16.3,0.42,7.2,0.27,9.6
26.5,0.37,7.55,0.24,6.7
19.2,0.19,7.35,0.12,5.6
20.8,0.22,7.27,0.14,9.2
15.4,0.27,7.51,0.17,9.3
17.1,0.12,7.28,0.08,9
18.7,0.53,8.35,0.34,9.1
17.1,0.66,3.08,0.42,9.2
26.1,0.17,7.58,0.11,7.3
20.5,0.33,7.48,0.21,8.1
22.1,0.12,7.83,0.08,9
23.6,0.24,7.32,0.15,5
19.2,0.12,7.1,0.08,9
22.5,0.12,7.7,0.08,9
32.9,0.66,7.8,0.42,7.8
17.4,0.12,7.3,0.08,9
16.1,0.32,8,0.2,9.4
22.1,0.22,8,0.14,9.2
32.9,1.04,7.8,0.67,7.2
26.5,0.77,7.6,0.49,4.8
26.7,0.66,7.3,0.42,6.1
26.4,0.32,8,0.2,8
24.1,0.48,8.4,0.3,7.9
21.4,0.12,7.2,0.08,9
19.1,0.12,7.5,0.08,9
22.4,0.22,7.4,0.14,5.2
26.5,1.16,7.9,0.74,4.8
32.9,0.69,7.5,0.44,6.6
16.4,0.12,7,0.08,9
18.9,0.32,7.9,0.2,9.4
21.3,0.17,8,0.11,9.1
32.9,0.87,8,0.56,7.2
23.4,0.43,8.3,0.27,7.4
18.1,0.22,7.5,0.14,9.2
18.9,0.12,7,0.08,9
17.9,0.47,8,0.3,9.7
26.4,0.32,7.6,0.2,7.8
17.8,0.43,7.69,0.27,8.3
25.9,0.95,7.6,0.61,0.9
18,0.12,7.4,0.08,9
24.6,0.43,8.3,0.27,8
20,0.48,8,0.3,8.4
32.9,0.6,8,0.38,7.2
16.7,0.32,7.64,0.2,9.4
32.9,0.52,7.69,0.33,7.7
32.9,0.61,7.98,0.39,6.9
24.5,0.2,7.46,0.13,5.5
32.9,0.83,7.52,0.53,7
20.4,0.12,7.51,0.08,9
21.7,0.39,8.23,0.25,7.6
20.9,0.32,8,0.2,9.4
19.8,0.32,7.8,0.2,9.4
24.3,0.22,7,0.14,5.2
17.4,0.32,7.7,0.2,9.4
26.4,0.32,7.6,0.2,6.5
16.8,0.12,7.2,0.07,9
18.3,0.37,7.9,0.23,9.5
21.1,0.24,7.4,0.15,4.9
24.4,0.62,8.2,0.4,4.9
22.9,0.13,7.3,0.08,6.4
17.4,0.38,7.5,0.24,3.1
20.2,0.34,7.2,0.22,3.6
18.6,0.12,7.2,0.07,9
24.6,0.3,7.5,0.19,4.1
17.6,0.17,7.2,0.11,5.8
21.2,0.27,8,0.17,9.3
19,0.16,7.03,0.1,5.9
20.8,0.33,8.1,0.21,7.2
21.2,0.47,7.2,0.3,1.9
22.4,0.47,7.3,0.3,1.9
26.7,0.47,7.98,0.3,7.5
22.9,0.43,7.68,0.27,8.3
25.4,0.63,7.62,0.41,6.2
19.8,0.17,7.93,0.11,9.1
15.7,0.17,7.34,0.11,9.1
21.1,0.43,7.19,0.27,8.3
16.2,0.17,7.9,0.11,9.1
19.3,0.49,7.36,0.32,1.6
21.8,0.07,7.7,0.04,8.9
20.4,0.26,7.18,0.16,4.7
24.8,0.44,8.32,0.28,8
24.2,0.21,7.3,0.13,5.3
24,0.99,9.2,0.63,2.8
25,0.22,7.2,0.14,5.2
23.1,0.2,7.2,0.13,5.4
23,0.48,7.5,0.31,8.4
24.7,0.33,8,0.21,8.1
25.9,0.07,8,0.04,8
26,0.65,7.5,0.42,1.5
16.9,0.24,7.6,0.15,4.9
21.5,0.22,8,0.14,9.2
26.5,0.37,7.8,0.23,7.2
18.4,0.38,7.6,0.24,8.2
24.3,0.38,8.2,0.24,7.9
20.3,0.22,7.1,0.14,5.2
26.7,0.47,8,0.3,7.4
26.6,0.67,7.8,0.43,5.4
24,0.28,7.24,0.18,4.3
20.5,0.22,7.8,0.14,9.2
15.3,0.22,7.1,0.14,5.1
22.8,0.43,7.2,0.27,8.3
19.3,0.17,7.4,0.11,9.1
23.3,0.12,7.8,0.07,9
18.2,0.25,7.4,0.16,4.7
24.7,0.43,8.3,0.27,8
24.4,0.2,7.16,0.13,5.4
22.4,0.21,7.49,0.13,5.3
19.3,0.31,7.02,0.2,4
19.4,0.45,7.22,0.29,2.1
21.2,0.21,7.39,0.13,5.3
19.7,0.26,7.4,0.17,4.6
21.7,0.48,7.8,0.31,8.4
24.2,0.21,7.2,0.13,5.3
23.5,0.27,7.2,0.17,4.5
22,0.11,7.6,0.07,9
17.3,0.31,8,0.2,9.4
26.2,0.21,7,0.14,7.2
18.9,0.11,7.2,0.07,9
17.7,0.59,3,0.38,9.2
21.8,0.43,7.6,0.27,8.3
15.8,0.31,7.5,0.2,9.4
22.2,0.11,7.44,0.07,9
20.4,0.26,7.9,0.17,9.3
21.7,0.21,7.1,0.13,5.3
24.2,0.15,7.2,0.09,6.1
21.4,0.06,7.1,0.04,8.9
18.3,0.57,3,0.37,9.2
21.3,0.31,7.83,0.2,9.4
18.4,0.66,2.98,0.42,9.2
17.5,0.24,7.26,0.15,4.9
23.1,0.23,7.29,0.15,5
16.8,0.21,7.98,0.14,9.2
20.1,0.18,7.14,0.11,5.7
18.9,0.31,7.86,0.2,9.4
21.7,0.19,7,0.12,5.5
17.9,0.16,7.5,0.1,9.1
19.1,0.21,7.8,0.14,9.2
15.1,0.21,7.1,0.14,5.2
26.5,0.59,7.4,0.38,4.7
24.5,0.33,8,0.21,8.1
24.9,0.38,8,0.24,8.2
20.4,0.38,8,0.24,8.2
26.7,0.68,8,0.43,6
23.4,0.11,8,0.07,9
22.3,0.11,7.6,0.07,9
19.8,0.11,7.2,0.07,9
20.8,0.23,7.2,0.15,5
22.2,0.11,8,0.07,9
19.6,0.48,7.8,0.31,8.4
24.9,0.35,8.14,0.22,7.9
25.9,0.65,7.36,0.42,0.8
22.7,0.17,7.07,0.11,5.8
26.7,0.46,7.6,0.3,7.5
26.7,0.52,7.9,0.33,6
20.2,0.23,7.4,0.15,5
20.9,0.14,6.6,0.09,7.6
21.3,0.19,7.2,0.12,5.5
20.7,0.11,7.92,0.07,9
21,0.16,7.54,0.1,9.1
18.1,0.52,8.34,0.33,9.1
24.2,0.24,7.47,0.15,4.9
20.9,0.34,7.35,0.21,3.6
18.2,0.53,8.24,0.34,9.2
19.6,0.53,8.44,0.34,9
23.4,0.55,8.34,0.35,9.1
21.7,0.2,7.4,0.13,5.4
24.9,0.62,8.24,0.4,9.2
19.4,0.55,8.34,0.35,9.1
18.1,0.11,7.7,0.07,9
24.9,0.57,8.04,0.37,9.4
22.3,0.43,7.4,0.28,2.3
21.3,0.06,8,0.04,8.9
25.3,0.76,7.5,0.49,5.6
21.1,0.11,7.3,0.07,9
26.7,0.46,7.9,0.29,7.9
18.7,0.31,8,0.2,9.4
25.3,1.1,8,0.7,5.6
21.4,0.26,7.5,0.17,9.3
24,0.39,7.4,0.25,2.8
15.8,0.28,7.5,0.18,4.3
25.1,1.11,8,0.71,4.3
21.2,0.51,8.1,0.33,4.3
24.6,0.3,7.24,0.19,4.1
21.6,0.31,7.5,0.2,9.4
18,0.11,7.4,0.07,9
16.3,0.23,7.3,0.14,5
18,0.11,7.42,0.07,9
27.7,0.58,8.08,0.37,7.7
17.1,0.11,7.61,0.07,9
20.7,0.2,7.06,0.13,5.3
27.7,0.58,8.08,0.37,6.5
24.8,0.51,8.3,0.33,5.6
19.4,0.42,7.39,0.27,2.5
22.8,0.14,7.2,0.09,6.1
23.9,0.38,7.5,0.24,8.2
20.8,0.21,7.9,0.13,9.2
25,0.48,8.4,0.31,8
26.3,0.26,7.6,0.17,7.7
24.5,0.32,7.2,0.21,3.7
20.1,0.11,7.2,0.07,9
20,0.2,7,0.13,5.3
19.1,0.16,7.9,0.1,9.1
26.4,0.54,7.3,0.35,4
26.4,0.31,7.1,0.2,6.7
23.1,0.33,7.5,0.21,8.1
25.8,0.78,7.7,0.5,0.1
21.4,0.2,7,0.13,5.3
18.2,0.21,7.1,0.13,5.2
21.4,0.11,7.1,0.07,9
20.5,0.16,7.6,0.1,9.1
22.1,0.17,7,0.11,5.7
20.7,0.11,7.3,0.07,9
21.7,0.48,7.94,0.31,8.4
25.8,0.98,7.2,0.63,0.1
26.1,0.16,7.4,0.1,7.2
19.7,0.11,7.2,0.07,9
18.1,0.26,7.4,0.16,4.6
16.5,0.24,7.3,0.15,4.8
22.8,0.11,7.1,0.07,9
19,0.16,7.6,0.1,9.1
16.7,0.3,7.4,0.19,4
20.3,0.21,7.97,0.13,9.2
19.1,0.31,7.97,0.2,9.4
24.6,0.16,7.16,0.1,5.9
20.4,0.11,7.72,0.07,9
26.4,0.83,7.91,0.53,4
26.2,1.1,7.88,0.7,2.7
21.2,0.19,7.3,0.12,5.5
17.4,0.82,2.9,0.52,9.2
25,0.16,7.8,0.1,5.8
24.8,0.19,7.4,0.12,5.4
15.2,0.22,7.2,0.14,5
23.4,0.16,8,0.1,9.1
22.1,0.06,7.2,0.04,8.9
22.9,0.16,7,0.1,5.8
20.3,0.11,7.5,0.07,9
23,0.27,7.3,0.17,4.4
22.1,0.28,7.3,0.18,4.3
26.7,0.46,7.9,0.29,7.4
22.7,0.33,7.8,0.21,8.1
24.7,0.21,7.4,0.14,5.1
22.3,0.16,7.5,0.1,9.1
20.9,0.06,7.72,0.04,8.9
20.8,0.06,7.08,0.04,8.9
21,1.11,8.02,0.71,3.8
26.6,0.41,7.3,0.26,7
20.6,0.16,7.6,0.1,9.1
19.6,0.11,7.5,0.07,9
18.9,0.2,7.2,0.13,5.3
25.2,0.38,7.5,0.24,7.2
26.3,0.26,7.9,0.16,8
16.9,0.21,7.13,0.13,9.2
24.9,0.11,7.26,0.07,9
26.5,0.36,7.9,0.23,7.6
25,0.36,7.94,0.23,9.5
17.1,0.11,7.42,0.07,9
26,0.11,7.11,0.07,7.7
19.2,0.36,7.32,0.23,3.2
25.4,0.48,7.15,0.31,7.8
23.3,0.18,7.4,0.12,5.5
18.8,0.06,7.07,0.04,8.9
20.8,0.21,7.9,0.13,9.2
15.6,0.26,7.8,0.16,9.3
13.8,0.26,7.8,0.16,9.3
21.4,0.06,7.3,0.04,8.9
23.8,0.13,7.1,0.08,6.2
26.5,0.36,7.5,0.23,7.8
18.9,0.29,7.4,0.18,4.1
18.2,0.36,7.6,0.23,9.5
18.7,0.16,7.9,0.1,9.1
15.4,0.3,7.5,0.19,4
23,0.29,7.25,0.18,4.1
18.8,0.48,7,0.31,8.4
21.3,0.11,7.3,0.07,9
22.8,0.48,7.9,0.31,8.4
19.3,0.25,7.4,0.16,4.6
24.1,0.43,8.3,0.28,7.9
18,0.26,7.42,0.17,4.5
24.8,0.33,7.43,0.21,8.1
22.3,0.34,7.52,0.22,3.4
22.3,0.31,7.2,0.2,3.8
19.8,0.2,7.6,0.13,9.2
26.1,1.09,7.8,0.7,2
23.5,0.33,8.1,0.21,7.1
20.7,0.2,9.2,0.13,7
21,0.25,7.4,0.16,4.6
14.8,0.26,7.9,0.17,4.5
15.1,0.33,8.1,0.21,7.5
21.9,0.1,7.2,0.07,9
15.8,0.35,7.2,0.23,9.5
20.9,0.48,8,0.31,8.4
19,0.17,7,0.11,5.7
16.9,0.15,7.6,0.1,9.1
25.8,0.96,7.6,0.62,0.05
22.5,0.1,7.5,0.07,9
20.3,0.32,7.4,0.2,3.7
22.8,0.12,7.25,0.08,6.3
18.5,0.48,7.9,0.31,8.4
19.6,0.2,7.1,0.13,9.2
20.3,0.1,7.4,0.07,9
19.4,0.27,7.3,0.17,4.3
20,0.16,7.22,0.1,5.8
26.7,0.88,7.41,0.57,5.9
26.3,0.25,7.71,0.16,7.9
26.7,0.68,7.6,0.43,5.9
18.9,0.3,8,0.19,9.4
17.7,0.39,8.2,0.25,7.9
21.9,0.15,7.5,0.1,9.1
25.2,0.75,7.8,0.48,5
23.7,0.21,7.8,0.13,5.1
21.6,0.74,6.8,0.48,1.5
22.8,0.45,7.1,0.29,9.7
23.7,0.44,8,0.28,8.3
19.4,0.3,7.1,0.19,9.4
23.8,0.26,7.4,0.17,4.4
18.4,0.4,8,0.26,9.6
21.1,0.34,7.3,0.22,3.4
26.6,0.4,7.9,0.26,7.9
18.7,0.23,7.2,0.14,4.9
20.7,0.2,8,0.13,9.2
26.4,0.3,7.3,0.19,7.1
16.5,0.18,7.1,0.11,5.5
17.3,0.17,7.2,0.11,5.6
18.9,0.4,7.9,0.26,9.6
24.6,0.42,8.27,0.27,7
19.4,0.63,8.13,0.4,9.3
19.5,0.1,7,0.06,9
23.3,0.3,8,0.19,9.4
25,0.32,4,0.2,7.9
14.5,0.3,7.8,0.19,9.4
26.3,0.25,8,0.16,7.6
15.8,0.3,7.6,0.19,9.4
20.5,0.28,7.44,0.18,4.2
17.3,0.21,7.13,0.13,5.1
16.8,0.24,7.22,0.15,4.7
21.3,0.1,7.58,0.07,9
21,0.1,7.42,0.06,9
18.9,0.1,7.69,0.06,9
17.4,0.54,6.79,0.34,8.4
26,0.1,7.63,0.07,7.5
24.3,0.19,7.37,0.12,5.4
22,0.31,7.16,0.2,3.8
19.8,0.97,8.43,0.62,9
25.1,0.34,7.93,0.21,7.2
22.5,0.39,7.5,0.25,8.2
20.9,0.05,7.62,0.03,8.9
20.6,0.38,7.44,0.24,2.9
27.5,0.6,8,0.38,8.3
19.5,0.49,8,0.31,8.4
19.7,0.58,8.2,0.37,10.6
27.6,0.56,8.2,0.36,7.8
22.4,0.32,7.2,0.2,3.7
18.8,0.52,8.1,0.33,10.7
20.5,0.59,8.5,0.38,10.3
20.9,0.56,8.5,0.36,10.3
19.8,0.52,8.5,0.33,10.3
27.6,0.63,8.2,0.41,7.9
27.1,0.61,8,0.39,8.7
23.4,0.34,8.1,0.22,7.1
27.7,0.59,8.1,0.37,6.8
23.5,0.39,8,0.25,8.2
23.2,0.34,8.1,0.22,7
24.1,0.39,8.2,0.25,8
26.2,0.9,8,0.58,9.6
21.2,0.51,8.1,0.33,10.7
27.3,0.53,8,0.34,8.5
26.6,1.2,8,0.77,5.2
27.6,0.65,8.2,0.41,7.4
14.8,0.29,7.5,0.19,4
17.1,0.61,8.4,0.39,10.4
20.1,0.59,8.6,0.38,10.2
18,0.68,8.1,0.44,10.7
21.9,0.64,8.3,0.41,10.5
21.4,0.72,8.4,0.46,10.4
18.3,0.15,7.4,0.1,9.1
17.1,0.51,8.3,0.33,10.5
