Temperature,EC,PH,DO,Score
16.4,118,7.8,9.8,42.18
16.4,161,7.7,9.9,42.13
16.4,156,7.8,9.9,42.09
16.4,618,8.4,11.2,42.05
16.4,239,7.28,10.1,41.97
16.4,87,7.42,9.8,41.96
16.4,134,7.4,10,41.57
16.4,100,7.5,10,41.32
16.4,86,7.2,10,41.22
16.4,58,7.19,10,41.02
16.4,157,7.6,10.2,41.01
16.4,147,7.8,10.2,40.94
16.4,141,8,10.3,40.54
16.4,134,7.9,10.4,40.13
16.4,357,7.6,11.1,39.23
16.4,165,7.1,10.8,38.94
16.4,80,8,12.3,33.82
16.4,15800,7.63,6.6,19.43
16.4,19700,7.3,6.6,19.42
16.4,463,8.3,9.6,19.41
16.4,452,8.4,9.5,19.41
16.4,445,8.36,9.5,19.41
16.4,424,8.4,9.4,19.4
16.4,256,8.2,9.4,19.39
16.4,346,8.2,9.6,19.38
16.4,294,8.3,9.4,19.38
16.4,331,8.2,9.6,19.37
16.4,298,8.14,9.6,19.36
16.4,366,8.2,9.7,19.35
16.4,362,8.3,9.6,19.34
16.4,487,8.1,9.7,19.33
16.4,488,8.3,9.5,19.33
16.4,494,8.4,9.4,19.32
16.4,353,8.1,9.4,19.3
16.4,463,8.2,10,19.26
16.4,456,8.3,9.9,19.25
16.4,258,8.1,9.7,19.25
16.4,415,8.01,10.1,19.25
16.4,456,8.3,9.9,19.25
16.4,240,8.1,9.7,19.21
16.4,284,8.3,9.6,19.2
16.4,363,8.3,9.1,19.13
16.4,399,8.1,10.1,19.11
16.4,196,8.3,9.5,19.1
16.4,421,8.2,9.3,19.09
16.4,423,8.1,9.4,19.09
16.4,280,8.2,9.8,19.06
16.4,163,8.2,9.6,19.01
16.4,408,8.4,9.9,18.99
16.4,459,8.4,10,18.99
16.4,399,8.2,9.2,18.97
16.4,453,8.41,10,18.96
16.4,354,8.28,10,18.85
16.4,296,8.3,9.9,18.79
16.4,274,8.2,10,18.71
16.4,406,8.2,10.3,18.64
16.4,196,8.3,9.8,18.6
16.4,283,8.3,10,18.55
16.4,229,8.3,9.9,18.53
16.4,329,8.2,10.2,18.53
16.4,183,4.6,8.8,18.47
16.4,480,8.1,9.3,18.46
16.4,302,8.3,10.3,18
16.4,150,8.1,10.3,17.76
16.4,222,8.1,8.6,17.56
16.4,206,8.1,10.5,17.55
16.4,236,8.4,10.5,16.97
16.4,230,4.3,9.6,16.72
16.4,247,4.4,9.7,16.59
16.4,408,8.3,11.3,16.07
16.4,356,8.2,8.5,15.4
16.4,261,8.4,8.1,15.29
16.4,212,8.8,11.1,14.33
16.4,144,6.6,10.8,14.1
16.4,426,8.3,12.9,12.29
16.4,476,8.2,8.3,8.51
16.4,2490,7.2,0.2,7.17
16.4,4180,7.8,0.4,7.03
16.4,11700,7.7,4.2,6.96
16.4,11400,8,8.7,6.96
16.4,45800,8.2,7.3,6.95
16.4,32400,7.8,5.8,6.95
16.4,49700,8.2,7.8,6.94
16.4,1800,8.3,8.8,-10.25
16.5,508,7.8,6.9,100
16.5,528,7.6,6.5,100
16.5,511,7.3,6.9,100
16.5,1180,7.6,7.7,100
16.5,676,7.1,7.7,100
16.5,1100,7.41,6.8,100
16.5,786,7.1,6.4,73.13
16.5,757,7.9,6.1,73.11
16.5,438,7.3,6.9,73.04
16.5,789,7.6,5.6,73.02
16.5,695,8,5.4,72.96
16.5,523,7.44,8.8,72.84
16.5,1180,8,5,72.82
16.5,1160,7.5,4.9,72.78
16.5,349,7.33,6.8,72.61
16.5,332,7,7.1,72.5
16.5,780,7.74,8.7,72.44
16.5,308,7.1,7.2,72.32
16.5,504,7.9,9.4,72.26
16.5,769,7.73,3.9,72.26
16.5,634,7.1,3.8,72.2
16.5,207,7.2,7.7,71.44
16.5,628,7.5,1.9,70.81
16.5,1040,7.7,1,70.04
16.5,1220,7.6,0.9,69.95
16.5,631,7.3,0.3,69.41
16.5,682,7.5,8.3,68.67
16.5,548,7.46,8.3,68.67
16.5,718,8.1,6.6,65.24
16.5,484,7.3,9,46.27
16.5,204,7.4,8.4,46.27
16.5,526,8.3,9.6,46.24
16.5,229,8.32,8,46.2
16.5,421,7.47,6.3,46.16
16.5,142,7.1,8.1,46.15
16.5,146,7.4,8.5,46.14
16.5,402,7.5,6.2,46.1
16.5,260,7.42,8.3,46.09
16.5,270,7.47,8.8,46.07
16.5,348,7.3,6.4,45.98
16.5,134,7,8.6,45.96
16.5,329,7.5,9,45.94
16.5,523,8.2,9.5,45.92
16.5,581,8.4,10,45.83
16.5,147,7.2,8.7,45.82
16.5,386,7.34,4.8,45.64
16.5,342,7.64,9.2,45.57
16.5,306,7.4,5.6,45.55
16.5,319,8,9.2,45.46
16.5,488,7.1,8.5,45.3
16.5,386,7.6,9.4,45.29
16.5,444,7.65,8.4,45.24
16.5,708,8.1,9.4,45.19
16.5,169,7.1,6.2,45.07
16.5,228,7.1,5.4,45.05
16.5,273,7.3,4.6,44.96
16.5,239,7.3,4.8,44.85
16.5,179,7.1,5.5,44.81
16.5,270,7.1,3.4,44.37
16.5,628,3,9.4,44.26
16.5,296,7.3,2.6,44.14
16.5,109,7.6,9.3,43.89
16.5,320,7.2,1.8,43.89
16.5,112,7.28,9.4,43.57
16.5,286,7.1,1.2,43.33
16.5,462,7.9,10.2,43.22
16.5,319,7.3,10,42.91
16.5,156,7.6,9.7,42.82
16.5,150,7.5,9.7,42.77
16.5,98,7.58,9.6,42.76
16.5,85,7.4,9.6,42.67
16.5,183,8,9.8,42.65
16.5,126,7.3,9.7,42.6
16.5,124,7.6,9.7,42.59
16.5,153,7.97,9.8,42.44
16.5,94,7.4,9.7,42.37
16.5,135,7.9,9.8,42.31
16.5,119,7.6,9.8,42.19
16.5,185,7.9,10.1,41.58
16.5,227,7.1,10.2,41.52
16.5,126,7.6,10,41.51
16.5,64,7.8,9.9,41.43
16.5,124,7.6,10.1,41.14
16.5,175,7.93,10.3,40.78
16.5,94,7.69,10.2,40.56
16.5,343,7.9,10.8,40.19
16.5,141,7.9,10.6,39.47
16.5,162,7.3,10.8,38.92
16.5,138,8,10.8,38.76
16.5,147,7.1,10.9,38.48
16.5,1470,7.4,6.5,23.32
16.5,4800,7.7,7.5,19.49
16.5,13000,8,7.3,19.43
16.5,22600,8,7.6,19.42
16.5,34900,7.9,6.8,19.42
16.5,414,8.3,9.5,19.41
16.5,39500,7.9,6.9,19.41
16.5,372,8.32,9.4,19.41
16.5,242,8.1,9.5,19.38
16.5,302,8.02,9.7,19.38
16.5,233,8.2,9.4,19.37
16.5,317,8.5,9,19.36
16.5,222,8.1,9.2,19.36
16.5,272,8.3,9.4,19.36
16.5,235,8.1,9.2,19.34
16.5,298,8.2,9.6,19.32
16.5,395,8.3,9.7,19.32
16.5,421,8.2,9.4,19.26
16.5,406,8.3,9.8,19.25
16.5,410,8.2,10,19.14
16.5,281,8.4,8.8,19.05
16.5,423,8.2,10.1,19.04
16.5,382,8.2,10.1,18.91
16.5,183,8.1,9.8,18.91
16.5,425,8.4,10,18.89
16.5,304,8.21,10,18.8
16.5,428,8.3,10.2,18.72
16.5,314,8.1,10.2,18.67
16.5,243,8.2,10.1,18.39
16.5,211,8.36,9.9,18.34
16.5,221,6.8,4.6,18.25
16.5,306,8.3,10.2,18.23
16.5,368,8.1,9,18.14
16.5,332,8.2,10.4,18.13
16.5,418,8.18,9,18.04
16.5,237,8.3,10.4,17.46
16.5,346,8.44,10.5,17.41
16.5,259,8.4,10.4,17.32
16.5,183,2.6,6.1,17.22
16.5,88,6.8,9.6,16.9
16.5,246,8.5,10.6,16.51
16.5,225,4.3,9.7,16.44
16.5,176,8.2,10.9,16.16
16.5,230,4.1,9.8,16.14
16.5,272,8.3,8.3,16.06
16.5,220,8.04,11.2,16.03
16.5,165,8.7,10.7,15.34
16.5,231,8.34,8.1,15.29
16.5,438,8.4,11.8,14.71
16.5,409,8.3,13,11.99
16.5,1700,7.5,5,7.76
16.5,1840,7.4,4.7,7.5
16.5,2880,7.5,6.4,7.11
16.5,3280,7.4,1.4,7.07
16.5,3840,7.5,0.1,7.04
16.5,4180,7.85,9.2,7.03
16.5,11400,7,6.3,6.96
16.5,16900,7.5,5.4,6.96
16.5,25500,7.79,5.5,6.95
16.6,697,7.8,8,100
16.6,648,7.7,8,100
16.6,730,7.6,7.5,100
16.6,1060,7.93,7.6,100
16.6,564,7.9,6.9,100
16.6,563,8,7.9,100
16.6,493,7.1,7.2,73.13
16.6,469,7.3,6.6,73.11
16.6,419,7.06,7.8,72.97
16.6,676,7.9,8.8,72.84
16.6,590,7.6,4.6,72.64
16.6,354,7.4,7.9,72.64
16.6,334,7.54,8,72.51
16.6,324,7,6.6,72.44
16.6,320,7.5,6.6,72.41
16.6,312,7.6,7,72.35
16.6,247,7.4,7.1,71.81
16.6,244,7.71,7.7,71.79
16.6,774,7.4,2.5,71.29
16.6,704,7.72,2.3,71.13
16.6,164,7.2,7.8,71
16.6,773,7.9,8.4,69.98
16.6,838,7.4,0.7,69.77
16.6,1140,7.8,0.2,69.32
16.6,677,7.9,0,69.14
16.6,1040,7.6,8.3,68.67
16.6,566,7,10.2,67.92
16.6,617,8,10.5,66.07
16.6,1120,8.4,9.6,46.27
16.6,584,8.5,9.5,46.27
16.6,480,7.3,9,46.27
16.6,390,7.84,8.8,46.27
16.6,198,7.22,8.5,46.24
16.6,202,7.65,8.3,46.23
16.6,101,7,8.4,46.15
16.6,554,8.3,9.5,46.12
16.6,254,7.35,8.3,46.11
16.6,461,7.6,8.7,46.09
16.6,375,7.5,6.4,46.06
16.6,1090,6.8,8.7,45.99
16.6,547,8.4,9.3,45.92
16.6,444,7.3,8.5,45.66
16.6,454,7.87,9.4,45.63
16.6,252,8,9,45.62
16.6,520,8.4,10.1,45.61
16.6,402,7.6,9.4,45.38
16.6,482,8,8.5,45.35
16.6,498,7,9.6,45.35
16.6,208,7.1,6.3,45.33
16.6,210,7.4,6.2,45.3
16.6,295,7.78,9.3,45.06
16.6,583,8.27,9.2,45.03
16.6,418,7.3,8.3,45
16.6,345,7.95,9.5,44.77
16.6,391,7.3,9.6,44.74
16.6,251,7,4.3,44.69
16.6,291,7.3,3.6,44.6
16.6,316,8,9.5,44.59
16.6,200,7.5,9.3,44.49
16.6,377,7.9,9.7,44.34
16.6,300,7.2,2.8,44.26
16.6,157,7.7,9.3,44.21
16.6,256,7.91,9.5,44.2
16.6,375,7.7,9.8,44
16.6,585,8.2,9.1,43.91
16.6,634,8.4,8.9,43.91
16.6,284,7.9,9.7,43.72
16.6,67,7.4,9.3,43.6
16.6,456,7.7,10.1,43.52
16.6,286,7.1,1.1,43.28
16.6,158,7.5,9.6,43.19
16.6,187,8,9.7,43.04
16.6,509,8.3,8.9,43.01
16.6,128,7.2,9.6,42.97
16.6,109,7.6,9.6,42.84
16.6,208,7.7,9.8,42.83
16.6,130,8,9.7,42.63
16.6,61,7.68,9.6,42.49
16.6,153,7.9,9.8,42.44
16.6,122,7.3,9.8,42.21
16.6,148,7.9,9.9,42.04
16.6,98,7.4,9.8,42.04
16.6,127,8,9.9,41.88
16.6,169,7.98,10,41.83
16.6,65,7.3,9.8,41.8
16.6,705,8.6,11.1,41.69
16.6,46,7.1,9.8,41.66
16.6,135,7.8,10,41.58
16.6,105,7.5,10,41.36
16.6,169,8,10.2,41.1
16.6,132,7.76,10.2,40.83
16.6,131,7.7,10.2,40.82
16.6,129,7.8,10.2,40.81
16.6,164,7.4,10.3,40.7
16.6,240,7.9,10.5,40.53
16.6,428,7.8,11,40.09
16.6,55,7.2,10.4,39.57
16.6,162,7.5,11.2,37.58
16.6,201,7.7,11.3,37.5
16.6,151,7.4,11.2,37.5
16.6,1450,7.39,7.4,24.79
16.6,1830,7.56,6.7,20.07
16.6,2490,7.5,7.1,19.67
16.6,35500,7.7,6.8,19.42
16.6,304,8.1,9.5,19.41
16.6,420,8.17,9.7,19.41
16.6,45500,8,6.9,19.41
16.6,383,8.2,9.6,19.4
16.6,360,8.26,9.5,19.4
16.6,397,8.19,9.7,19.39
16.6,457,8.31,9.5,19.38
16.6,252,8.09,9.3,19.38
16.6,385,8.1,9.8,19.37
16.6,320,8.2,9.3,19.36
16.6,465,8.4,9.7,19.35
16.6,336,8.1,9.4,19.33
16.6,450,8.4,9.7,19.33
16.6,492,8.4,9.4,19.32
16.6,338,8.4,9.6,19.21
16.6,254,8.4,9.5,19.12
16.6,346,8.2,9.9,19.1
16.6,375,8.1,9.3,19.08
16.6,188,8.01,9.8,19.06
16.6,339,8.02,10.1,19.05
16.6,361,8.1,10.1,19
16.6,377,8.36,9.9,18.96
16.6,406,8.2,9.2,18.94
16.6,173,8.1,9.8,18.88
16.6,271,8.33,9.8,18.82
16.6,445,8.28,10.2,18.82
16.6,220,8.23,9.8,18.82
16.6,304,8.4,9.8,18.81
16.6,174,8.1,9.9,18.71
16.6,183,4.5,8.7,18.63
16.6,155,8.21,9.9,18.42
16.6,208,8.32,10,18.2
16.6,307,8.5,10.1,18.02
16.6,275,3.96,9.1,18.02
16.6,354,9.3,9.5,17.78
16.6,235,8.38,8.2,16.53
16.6,270,8.2,8.3,15.1
16.6,264,8.16,8.3,14.79
16.6,420,8.3,8.4,13.9
16.6,258,8.2,8.1,12.84
16.6,398,8.2,8.2,9.7
16.6,1510,7.2,3.1,9.11
16.6,1940,8,1.2,7.4
16.6,2210,7.4,3.2,7.24
16.6,2430,7.7,8.9,7.18
16.6,15600,8,8.2,6.96
16.6,28100,7.73,5.1,6.95
16.6,1990,6.9,2.3,-10.41
16.6,46700,8.2,8.1,-10.76
16.7,622,7.5,6.8,100
16.7,1390,7.3,7.8,100
16.7,836,7.3,7.7,100
16.7,505,7.5,7.6,100
16.7,746,7.6,7.9,100
16.7,850,7.1,7.4,100
16.7,592,7.2,7.7,100
16.7,536,7.43,7.5,100
16.7,1100,7.58,6.7,100
16.7,609,7.4,6.3,73.13
16.7,950,7.9,6.1,73.11
16.7,456,7.7,6.9,73.09
16.7,1070,7.1,4.9,72.78
16.7,377,7.4,7.1,72.78
16.7,370,7.8,7.4,72.74
16.7,677,7.1,4.8,72.73
16.7,950,7.5,4.7,72.69
16.7,532,7.3,9.3,72.62
16.7,343,7.1,7.8,72.57
16.7,1020,7.8,8.7,72.44
16.7,794,7.7,4.1,72.38
16.7,694,7.5,3.8,72.2
16.7,275,7.6,6.8,72.06
16.7,997,7.8,3.5,72.01
16.7,828,7.6,3.4,71.94
16.7,705,7.7,8.6,71.84
16.7,797,7.9,3.2,71.81
16.7,229,7.66,8,71.65
16.7,558,8,9.6,71.37
16.7,197,7.02,7.5,71.34
16.7,1050,7,2.4,71.21
16.7,1020,7.6,1.4,70.39
16.7,684,7.3,1,70.04
16.7,1300,7.6,0.3,69.41
16.7,1070,7.4,0,69.14
16.7,556,8.1,7.7,65.24
16.7,881,7.8,8.1,65.24
16.7,518,7.86,13.1,53.09
16.7,416,7.7,8.8,46.27
16.7,142,7.16,8.3,46.27
16.7,349,7.8,8.7,46.27
16.7,215,7.32,8.4,46.27
16.7,195,7.6,8.3,46.24
16.7,485,7.3,8.8,46.17
16.7,150,7.14,8.5,46.15
16.7,534,8.2,9.6,46.12
16.7,233,7.9,8.7,46.11
16.7,408,7.6,8.6,46.1
16.7,267,7.8,8.3,46.06
16.7,618,8.23,9.5,45.99
16.7,441,8,9.2,45.98
16.7,187,7.8,8.1,45.98
16.7,560,8.3,9.3,45.61
16.7,258,7.4,6.3,45.58
16.7,324,7.9,9.2,45.49
16.7,185,7.76,9,45.29
16.7,318,7.6,9.3,45.19
16.7,507,8.1,9.4,45.19
16.7,517,8.3,9.2,45.19
16.7,318,7.64,9.4,44.91
16.7,300,7.4,4,44.85
16.7,143,7.2,9.1,44.76
16.7,262,7.9,9.4,44.56
16.7,401,7.9,9.7,44.49
16.7,224,7,4.2,44.47
16.7,333,7.9,9.6,44.38
16.7,311,7.92,9.6,44.24
16.7,152,7.3,9.3,44.18
16.7,129,7.55,9.3,44.02
16.7,127,7.46,9.4,43.67
16.7,1170,2.79,9.6,43.48
16.7,186,7.6,9.6,43.38
16.7,113,7.6,9.5,43.22
16.7,257,7.9,9.8,43.18
16.7,156,7.7,9.6,43.17
16.7,451,7.6,10.2,43.14
16.7,193,7.5,9.7,43.08
16.7,160,7.97,9.7,42.85
16.7,81,7.61,9.6,42.64
16.7,245,8,10,42.38
16.7,145,7.6,9.8,42.38
16.7,85,7.37,9.7,42.31
16.7,128,7.6,9.8,42.25
16.7,104,7.04,9.8,42.08
16.7,98,7.36,9.8,42.04
16.7,96,7.14,9.8,42.02
16.7,90,7.4,9.8,41.98
16.7,505,8.1,9,41.92
16.7,229,7.9,10.1,41.9
16.7,127,7.7,9.9,41.88
16.7,155,7.02,10,41.72
16.7,91,7.3,9.9,41.62
16.7,168,7.7,10.1,41.46
16.7,119,7.25,10,41.46
16.7,108,7.58,10,41.38
16.7,83,7.03,10,41.2
16.7,79,7.2,10,41.17
16.7,147,7.8,10.3,40.58
16.7,155,7.8,10.5,39.92
16.7,84,7.2,10.4,39.77
16.7,588,8.3,13.2,35.63
16.7,899,8.2,8.3,29.54
16.7,1780,7.8,7.6,20.15
16.7,2000,7.4,7,19.88
16.7,10600,7.92,7.4,19.44
16.7,14000,7.66,7.1,19.43
16.7,22800,8,6.8,19.42
16.7,20600,7.4,6.9,19.42
16.7,38100,7.96,7.2,19.42
16.7,30900,7.72,6.5,19.42
16.7,221,8.1,9.4,19.4
16.7,418,8.3,9.5,19.4
16.7,417,8.4,9.5,19.4
16.7,431,8.3,9.6,19.4
16.7,232,8.02,9.5,19.4
16.7,440,8.42,9.5,19.4
16.7,472,8.3,9.7,19.4
16.7,152,6.9,8.2,19.39
16.7,364,8.2,9.4,19.37
16.7,370,8.1,9.5,19.36
16.7,447,8.16,9.9,19.35
16.7,261,8.3,9.4,19.34
16.7,391,8.2,9.4,19.33
16.7,298,8.3,9.5,19.32
16.7,348,8.2,9.7,19.32
16.7,442,8.3,9.8,19.31
16.7,224,8.17,9.5,19.31
16.7,209,8.1,9.1,19.29
16.7,307,8.2,9.2,19.29
16.7,289,8.2,9.7,19.21
16.7,239,8.1,9.7,19.21
16.7,497,8.02,9.7,19.21
16.7,329,8.3,9.7,19.19
16.7,180,8.1,9.6,19.19
16.7,258,8.2,9.7,19.13
16.7,331,8.26,9.8,19.11
16.7,377,8.2,9.2,19.07
16.7,438,6.9,9.3,19.06
16.7,287,8.36,9.7,18.99
16.7,310,8.33,9.8,18.95
16.7,488,8.06,9.5,18.93
16.7,457,8.37,10.1,18.88
16.7,295,8.3,9.9,18.78
16.7,416,8.38,10.1,18.71
16.7,380,8.3,10.2,18.54
16.7,212,8.11,10.1,18.45
16.7,405,8.5,10.1,18.44
16.7,245,8.2,10.1,18.4
16.7,432,8.3,10.4,18.34
16.7,461,8.13,9.2,18.33
16.7,306,8.4,10.1,18.23
16.7,235,8.4,10,18.14
16.7,277,4.6,9.3,17.78
16.7,271,4.6,9.3,17.76
16.7,172,8.39,10.1,17.65
16.7,224,8.3,8.4,17.53
16.7,303,8.4,10.5,17.29
16.7,368,3.34,9.6,17.07
16.7,111,6.8,9.6,17.02
16.7,407,8.4,10.9,16.82
16.7,91,6.8,9.7,16.67
16.7,212,4.4,9.7,16.41
16.7,403,8.3,11.2,16.3
16.7,249,8.6,11,15.26
16.7,456,8.6,11.7,14.55
16.7,287,8.27,8.1,13.02
16.7,311,8.1,8.3,12.75
16.7,2520,7.5,1.9,7.16
16.7,2950,7.64,6,7.1
16.7,3040,7.2,4.8,7.09
16.7,4520,7.2,4.4,7.02
16.7,17400,8,8.5,6.96
16.7,14900,7.4,5.5,6.96
16.7,27300,7.4,3.6,6.95
16.7,26500,8,8.3,6.95
16.7,35600,7.89,4.3,6.95
16.7,27100,7.59,6.4,6.95
16.7,28500,7.56,5,6.95
16.7,27800,7.66,4.1,6.95
16.8,589,7.9,7.4,100
16.8,1140,7.3,7.5,100
16.8,516,7.5,7.8,100
16.8,791,7.27,7.1,100
16.8,535,7.4,7.1,100
16.8,1090,7.58,7.8,100
16.8,573,7.44,6.5,100
16.8,666,7.44,7.6,100
16.8,552,7.86,6.7,100
16.8,832,7.67,7.7,100
16.8,575,8,9,73.14
16.8,825,8,6.1,73.11
16.8,467,7.8,7.8,73.11
16.8,836,7.6,5.9,73.08
16.8,451,7.23,7.8,73.07
16.8,762,7.7,5.7,73.04
16.8,1110,8,9.2,72.89
16.8,541,8,9.2,72.89
16.8,384,7.5,8,72.81
16.8,533,8,9.3,72.62
16.8,632,8,8.7,72.44
16.8,316,7.4,7.9,72.38
16.8,309,7.4,7.5,72.33
16.8,522,7.7,9.4,72.26
16.8,665,7.9,3.7,72.14
16.8,540,8,9.5,71.84
16.8,247,7.3,7.1,71.81
16.8,226,7.1,7.4,71.62
16.8,202,7.2,8,71.39
16.8,188,7.1,7.8,71.25
16.8,1110,7.7,2.4,71.21
16.8,184,7.2,7.4,71.2
16.8,883,7.6,2.3,71.13
16.8,163,7.2,7.7,70.99
16.8,1370,7.8,2,70.89
16.8,952,7.5,8.4,69.98
16.8,824,7.71,8.4,69.98
16.8,675,7.3,0.4,69.5
16.8,518,7.3,0.3,69.41
16.8,884,8.11,7.1,65.44
16.8,810,7,8.1,65.24
16.8,1230,7.5,8.1,65.24
16.8,631,7.6,11.4,60.84
16.8,162,7.2,8.3,46.27
16.8,459,7.3,8.9,46.27
16.8,850,8.2,9.8,46.27
16.8,499,7.3,6.1,46.26
16.8,223,7.7,8.4,46.26
16.8,396,7.8,8.9,46.23
16.8,462,7.4,8.8,46.22
16.8,437,7.8,9,46.22
16.8,219,7.08,8.6,46.19
16.8,414,8,9,46.18
16.8,412,7.63,9,46.18
16.8,558,8.5,9.7,46.15
16.8,533,8.4,9.8,46.15
16.8,637,8.3,9.5,46.12
16.8,475,7.3,8.7,46.03
16.8,181,7.2,8.1,46.01
16.8,279,7.2,8.9,45.94
16.8,512,8.2,9.5,45.92
16.8,395,8,9.2,45.81
16.8,748,2.95,8.9,45.66
16.8,634,8.3,9.3,45.61
16.8,730,8.3,9.3,45.61
16.8,285,7.9,9.2,45.29
16.8,389,7.18,3.7,45.22
16.8,205,7.2,6,45.19
16.8,164,8,9,45.17
16.8,192,7.4,9.1,45.05
16.8,252,7.24,5,45.02
16.8,178,7.89,9.1,44.97
16.8,116,7.2,9,44.9
16.8,213,7.98,9.2,44.88
16.8,240,7.22,4.7,44.81
16.8,395,8,9.6,44.77
16.8,242,7.1,4.6,44.77
16.8,344,7.99,9.5,44.76
16.8,376,7.9,9.6,44.65
16.8,159,7.5,9.2,44.55
16.8,262,7.2,3.6,44.42
16.8,283,7.7,9.5,44.38
16.8,431,8,9.8,44.37
16.8,166,7.6,9.3,44.27
16.8,1050,2.8,9.4,44.16
16.8,141,7.3,9.3,44.1
16.8,438,7.9,9.9,44.08
16.8,225,7.95,9.5,44
16.8,117,7.92,9.3,43.94
16.8,408,7.5,9.9,43.88
16.8,495,7.3,10.1,43.79
16.8,250,7.1,2.2,43.62
16.8,219,7.7,9.6,43.61
16.8,256,7.03,9.7,43.52
16.8,142,7.7,9.5,43.43
16.8,163,7.8,9.6,43.22
16.8,159,7.22,9.6,43.19
16.8,251,7.8,9.8,43.14
16.8,250,7.6,9.8,43.13
16.8,122,7.2,9.6,42.93
16.8,104,7.2,9.6,42.8
16.8,95,7.3,9.6,42.74
16.8,132,7.85,9.7,42.64
16.8,57,7.3,9.6,42.46
16.8,130,7.9,9.8,42.27
16.8,124,7.5,9.8,42.23
16.8,269,7.92,10.1,42.19
16.8,101,7.2,9.8,42.06
16.8,194,7.9,10,42.01
16.8,192,7.9,10,41.99
16.8,136,7.9,9.9,41.95
16.8,82,7.2,9.8,41.92
16.8,713,8.1,9,41.92
16.8,180,8,10,41.91
16.8,160,7.4,10,41.76
16.8,397,7.9,10.5,41.67
16.8,135,7.8,10,41.58
16.8,131,7.02,10,41.55
16.8,245,8,10.3,41.29
16.8,87,7.4,10,41.23
16.8,130,7.24,10.1,41.18
16.8,567,8.12,8.8,39.37
16.8,148,7.3,10.7,39.17
16.8,528,8.28,8.2,28.9
16.8,1540,7.56,6.9,21.41
16.8,1880,7.4,7.8,20
16.8,4080,7.69,6.6,19.51
16.8,4060,7.51,7.6,19.51
16.8,5710,7.5,6.8,19.47
16.8,27800,7.9,6.9,19.42
16.8,28200,7.7,6.5,19.42
16.8,410,8.3,9.5,19.41
16.8,398,8.32,9.5,19.41
16.8,381,8.16,9.6,19.41
16.8,438,8.27,9.6,19.41
16.8,379,8.4,9.4,19.4
16.8,474,8.4,9.6,19.4
16.8,277,8.2,9.4,19.4
16.8,459,8.3,9.7,19.39
16.8,407,8.2,9.7,19.39
16.8,208,8.1,9.4,19.39
16.8,253,8.1,9.5,19.39
16.8,453,8.42,9.4,19.39
16.8,414,8.3,9.4,19.37
16.8,416,8.27,9.7,19.37
16.8,277,8.2,9.5,19.36
16.8,481,8.42,9.4,19.36
16.8,352,8.3,9.6,19.33
16.8,387,8.2,9.8,19.3
16.8,383,8.4,9.6,19.3
16.8,177,8.12,9.5,19.27
16.8,255,8.3,9.5,19.24
16.8,438,8.4,9.8,19.21
16.8,385,8.3,9.8,19.2
16.8,404,8.32,9.2,19.19
16.8,199,8.06,9.7,19.16
16.8,431,8.5,9.8,19.06
16.8,418,8.27,9.2,19.04
16.8,174,8.12,9.7,19.01
16.8,447,8.4,10,18.96
16.8,442,8.49,9.9,18.96
16.8,225,8.2,9.8,18.89
16.8,261,8.3,9.8,18.84
16.8,219,8.34,9.7,18.8
16.8,294,8.3,9.9,18.78
16.8,193,8.02,10,18.74
16.8,158,8.25,9.7,18.74
16.8,211,8.07,10,18.71
16.8,409,8.27,10.2,18.71
16.8,290,8.38,9.9,18.62
16.8,342,8.3,10.1,18.59
16.8,279,8.2,8.8,18.47
16.8,440,8.32,9,18.46
16.8,357,8.23,10.3,18.39
16.8,390,8.4,10.2,18.38
16.8,422,8.3,10.4,18.3
16.8,462,8.1,9.2,18.19
16.8,244,8.2,10.2,18.18
16.8,199,8.34,10,18.12
16.8,290,8.8,10,17.47
16.8,216,4.4,9.3,17.43
16.8,1420,7,6.3,17.36
16.8,460,8.1,9,17.06
16.8,499,8.1,9,16.46
16.8,67,6.6,10,15.72
16.8,435,8.37,11.5,15.52
16.8,303,8.46,11.4,14.88
16.8,237,8.2,8.2,14.72
16.8,137,8.14,11.6,14.36
16.8,150,8.76,11.1,14.13
16.8,163,8.89,11,14.12
16.8,1440,7.7,8.2,12.72
16.8,1680,7.7,3.2,7.81
16.8,1900,7.35,4.1,7.43
16.8,4340,7.5,8.9,7.02
16.8,7340,8,5.7,6.98
16.8,10300,7.68,5.2,6.97
16.8,14000,7.2,4.4,6.96
16.8,11200,7.2,3.5,6.96
16.8,14000,7.72,5.1,6.96
16.8,21800,7.6,1,6.95
16.8,31900,7.4,6.1,6.95
16.8,28900,7.4,6.2,6.95
16.8,36500,7.88,6.4,6.95
16.8,40800,7.72,4,6.95
16.8,40300,7.86,5.7,6.95
16.9,597,7.8,8,100
16.9,690,7.4,6.8,100
16.9,795,7.4,7.9,100
16.9,660,7.8,7.4,100
16.9,623,7.4,7.4,100
16.9,849,7.48,6.7,100
16.9,512,7.16,6.9,100
16.9,499,7.7,8,73.14
16.9,497,7.78,6.5,73.14
16.9,670,7.3,6.3,73.13
16.9,627,6.6,7.8,73.11
16.9,579,7.6,6.1,73.11
16.9,386,7.47,7.2,72.83
16.9,357,7.01,7.6,72.66
16.9,287,7.5,7.7,72.16
16.9,997,7.1,3.7,72.14
16.9,654,7.3,3.4,71.94
16.9,887,7.5,9.5,71.84
16.9,225,7.4,7.6,71.61
16.9,203,7.4,7.7,71.4
